rxn_id,flux_exchange_normalized_lb,flux_exchange_normalized,flux_exchange_units,flux_exchange_ub,id,flux_exchange_stdev,comment_,simulation_dateAndTime,flux_exchange,flux_exchange_lb,used_,flux_exchange_normalized_stdev,simulation_id,flux_exchange_normalized_units,flux_exchange_normalized_ub
ACt2rpp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5237,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ALDD2x,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5238,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
FHL,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5239,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
DAPDC,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5240,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
CYTD,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5241,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
PROD2,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5242,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
METS,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5243,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
IMPSYN_2,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5244,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
EX_h2_LPAREN_e_RPAREN_,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5245,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
PYK,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5246,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
